,name,Text,processedText,CEFR Labels
0,Biography aldous huxley,"Aldous Huxley was an English writer and philosopher. He wrote about fifty books, both fiction and non-fiction works. He also wrote essays, narratives, and poems.
Aldous was born on 26 July 1894 into the famous Huxley family, whose members are known for excelling in science, medicine, arts, and literature. He graduated from Balliol College, Oxford with an undergraduate degree in English literature. Early in his career, he published short stories and poetry and edited the literary magazine Oxford Poetry, before going on to publish travel writing, satire, and screenplays. He spent the latter part of his life in the United States, living in Los Angeles from 1937 until his death. By the end of his life, Huxley was widely recognized for being one of the most prominent intellectuals of his time. He was nominated for the Nobel Prize in Literature seven times and was elected Companion of Literature by the Royal Society of Literature in 1962.
Huxley was a humanist and pacifist. He grew interested in philosophical mysticism and universalism, addressing these subjects with works such as The Perennial Philosophy (1945)—which illustrates commonalities between Western and Eastern mysticism. As far as his literary works, his most famous novel Brave New World (1932) has been ranked at number 5 on its list of the 100 best English-language novels of the 20th century by the Modern Library in 1999.
Aldous Huxley died of Laryngeal cancer on November 22, 1963. Media coverage of Huxley's death was overshadowed by the assassination of American President John F. Kennedy on the same day, less than seven hours before Huxley's death.",aldou huxley english writer philosoph wrote fifti book fiction work also wrote essay narr poem aldou born juli famou huxley famili whose member known excel scienc medicin art literatur graduat balliol colleg oxford undergradu degre english literatur earli career publish short stori poetri edit literari magazin oxford poetri go publish travel write satir screenplay spent latter part life unit state live lo angel death end life huxley wide recogn one promin intellectu time nomin nobel prize literatur seven time elect companion literatur royal societi literatur huxley humanist pacifist grew interest philosoph mystic univers address subject work perenni philosophi illustr common western eastern mystic far literari work famou novel brave new world rank number list best novel centuri modern librari aldou huxley die laryng cancer novemb medium coverag huxley death overshadow assassin american presid john kennedi day le seven hour huxley death,B2
1,Pearl harbor attack,"The attack on Pearl Harbor or the Battle of Pearl Harbor, the Hawaii Operation was a surprise military strike by the Imperial Japanese Navy Air Service against the United States naval base at Pearl Harbor, Hawaii Territory, on the morning of December 7, 1941. The attack led to the United States' entry into World War II. The Japanese attack was a preventive action to keep the U.S. Pacific Fleet from interfering with military actions they planned in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States. The attack started at 7:48 and caused serious casualties and widespread damage in the base.
The undeclared assault came as a profound shock to the American people and led directly to the American entry into World War II in both the Pacific and European theaters. The following day, December 8, the United States declared war on Japan. Domestic support for non-interventionism, which had been fading since the Fall of France in 1940, disappeared. Clandestine support of the United Kingdom was replaced by an active alliance. Subsequent operations by the U.S. prompted Germany and Italy to declare war on the U.S. on December 11, which was reciprocated by the U.S. the same day.
The day after the attack, Roosevelt delivered his famous Infamy Speech to a Joint Session of Congress, calling for a formal declaration of war on the Empire of Japan. Congress obliged his request less than an hour later. Roosevelt described the previous day as ""a date which will live in infamy"". The speech is also commonly referred to as the ""Pearl Harbor Speech."" The speech was just a little over seven minutes long. Secretary of State Cordell Hull had recommended that the President devote more time to a fuller exposition of Japanese-American relations and the lengthy but unsuccessful effort to find a peaceful solution. However, Roosevelt kept the speech short in the belief that it would have a more dramatic effect.",attack pearl harbor battl pearl harbor hawaii oper surpris militari strike imperi japanes navi air servic unit state naval base pearl harbor hawaii territori morn decemb attack led unit state entri world war ii japanes attack prevent action keep pacif fleet interf militari action plan southeast asia oversea territori unit kingdom netherland unit state attack start caus seriou casualti widespread damag base undeclar assault came profound shock american peopl led directli american entri world war ii pacif european theater follow day decemb unit state declar war japan domest support fade sinc fall franc disappear clandestin support unit kingdom replac activ allianc subsequ oper prompt germani itali declar war decemb reciproc day day attack roosevelt deliv famou infami speech joint session congress call formal declar war empir japan congress oblig request le hour later roosevelt describ previou day date live infami speech also commonli refer pearl harbor speech speech littl seven minut long secretari state cordel hull recommend presid devot time fuller exposit relat lengthi unsuccess effort find peac solut howev roosevelt kept speech short belief would dramat effect,B2
2,Benefits of fasting,"Fasting is part and parcel of the practices of many religions including, Islam, Judaism and Christianity. Today many are trying to dig up the benefits of fasting. Some people fast for spiritual reasons while others fast as a way to physically discipline the body. Whatever reasons one might come up with, it has been scientifically proved that fasting has tremendous health benefits.
First, fasting is said to play an important role in the detoxification of the body. Detoxification is a normal body process of eliminating or neutralizing toxins through the colon, liver, kidneys, lungs, lymph glands, and skin. This process starts when fasting. Food no longer enters the body and the latter turns to fat reserves for energy. These fat reserves were created when excess glucose and carbohydrates were not used for energy or growth, not excreted, and therefore converted into fat. When the fat reserves are used for energy during a fast, it releases the chemicals from the fatty acids into the system which are then eliminated through the body organs, leading to the cleansing of the whole body.
An other known benefit of fasting is the healing process that is obvious in the body during a fast. When fasting energy is diverted away from the digestive system due to its lack of use and towards the metabolism and immune system. The healing process during a fast is made easy by the body's search for energy sources. Abnormal growths within the body, tumors and the like, do not have the full support of the body's supplies and therefore are more susceptible to disappear.
Fasting also leads to a feeling of rejuvenation and extended life expectancy. This might be due to the detoxification effect of fasting. A study was performed on earthworms that showed the extension of life thanks to fasting. The experiment was performed in the 1930s by isolating one worm and putting it on a cycle of fasting and feeding. The isolated worm outlived the other worms by 19 generations, while still maintaining its freshness and youthful physiological characteristics.",fast part parcel practic mani religion includ islam judaism christian today mani tri dig benefit fast peopl fast spiritu reason other fast way physic disciplin bodi whatev reason one might come scientif prove fast tremend health benefit first fast said play import role detoxif bodi detoxif normal bodi process elimin neutral toxin colon liver kidney lung lymph gland skin process start fast food longer enter bodi latter turn fat reserv energi fat reserv creat excess glucos carbohydr use energi growth excret therefor convert fat fat reserv use energi fast releas chemic fatti acid system elimin bodi organ lead clean whole bodi known benefit fast heal process obviou bodi fast fast energi divert away digest system due lack use toward metabol immun system heal process fast made easi bodi search energi sourc abnorm growth within bodi tumor like full support bodi suppli therefor suscept disappear fast also lead feel rejuven extend life expect might due detoxif effect fast studi perform earthworm show extens life thank fast experi perform isol one worm put cycl fast feed isol worm outliv worm gener still maintain fresh youth physiolog characterist,B1
3,Dolphins sleep,"Since Dolphins are like human being in so many ways. For example, dolphins have a special respiratory just like humans. The only difference is that dolphins are able to stay underwater for a long time without breathing oxygen. But how do dolphins manage to sleep without drowning?
Generally, dolphins sleep with only one brain hemisphere in slow-wave sleep at a time, thus maintaining enough consciousness to breathe and to watch for possible predators and other threats. Earlier sleep stages can occur simultaneously in both hemispheres. In captivity, dolphins seemingly enter a fully asleep state where both eyes are closed and there is no response to mild external stimuli. In this case, respiration is automatic; a tail kick reflex keeps the blowhole above the water if necessary. Anesthetized dolphins initially show a tail kick reflex. Though a similar state has been observed with wild sperm whales, it is not known if dolphins in the wild reach this state. The Indus river dolphin has a sleep method that is different from that of other dolphin species. Living in water with strong currents and potentially dangerous floating debris, it must swim continuously to avoid injury. As a result, this species sleeps in very short bursts which last between 4 and 60 seconds.",sinc dolphin like human mani way exampl dolphin special respiratori like human differ dolphin abl stay underwat long time without breath oxygen dolphin manag sleep without drown gener dolphin sleep one brain hemispher sleep time thu maintain enough conscious breath watch possibl predat threat earlier sleep stage occur simultan hemispher captiv dolphin seemingli enter fulli asleep state eye close respons mild extern stimulus case respir automat tail kick reflex keep blowhol water necessari anesthet dolphin initi show tail kick reflex though similar state observ wild sperm whale known dolphin wild reach state indu river dolphin sleep method differ dolphin speci live water strong current potenti danger float debri must swim continu avoid injuri result speci sleep short burst last second,B2
4,Organizations amnesty international,"Amnesty International is a non-governmental organization (NGO) which focuses on human rights. It is also known as Amnesty and AI and has over 3 million members and supporters around the world. Amnesty International is financed largely by fees and donations from its worldwide membership. It does not accept donations from governments or governmental organizations. It is largely made up of voluntary members, but retains a small number of paid professionals. The objective of the organization is:
""to conduct research and generate action to prevent and end grave abuses of human rights, and to demand justice for those whose rights have been violated.""
Amnesty International was founded in London in 1961, following the publication of the article ""The Forgotten Prisoners"" in The Observer 28 May 1961, by the lawyer Peter Benenson. In this article, Benenson cites the Universal Declaration of Human Rights articles 18 and 19, announced a campaign on ""Appeal for Amnesty, 1961"" and called for ""common action"". Amnesty draws attention to human rights abuses and campaigns for compliance with international laws and standards. It works to mobilize public opinion to put pressure on governments that let abuse take place. The organization was awarded the 1977 Nobel Peace Prize for its ""campaign against torture"", and the United Nations Prize in the Field of Human Rights in 1978.",amnesti intern organ ngo focus human right also known amnesti ai million member support around world amnesti intern financ larg fee donat worldwid membership accept donat govern government organ larg made voluntari member retain small number paid profession object organ conduct research gener action prevent end grave abus human right demand justic whose right violat amnesti intern found london follow public articl forgotten prison observ may lawyer peter benenson articl benenson cite univers declar human right articl announc campaign appeal amnesti call common action amnesti draw attent human right abus campaign complianc intern law standard work mobil public opinion put pressur govern let abus take place organ award nobel peac prize campaign tortur unit nation prize field human right,C1
5,The old man and the sea,"The Old Man and the Sea is a novel was the last major work of fiction to be written by Ernest Hemingway and published in his lifetime. It is considered to be one of his most famous works and was awarded the Pulitzer Prize for Fiction in 1953 and was cited by the Nobel Committee as contributing to the awarding of the Nobel Prize in Literature to Hemingway in 1954.
The Old Man and the Sea is the story of a battle between an old, experienced Cuban fisherman and a large marlin. The novel opens with the explanation that the fisherman, who is named Santiago, has gone 84 days without catching a fish. In fact, he is so unlucky that his young apprentice, Manolin, has been forbidden by his parents to sail with the old man and been ordered to fish with more successful fishermen. Still dedicated to the old man, however, the boy visits Santiago's shack each night. On the eighty-fifth day, Santiago sets out alone, taking his skiff far onto the Gulf Stream. He sets his lines and, by noon of the first day, a big fish that he is sure is a marlin takes his bait. After a long struggle with the fish Santiago manages to strap the marlin to the side of his skiff and heads home, thinking about the high price the fish will bring him at the market and how many people he will feed. While Santiago sails back back to the shore, sharks are attracted to the trail of blood left by the marlin in the water. Despite his efforts to ward off the sharks, they have almost devoured the marlin's entire carcass, leaving a skeleton consisting mostly of its backbone, its tail and its head. Once home, he slumps onto his bed and falls into a deep sleep. The next day, a group of fishermen gather around the boat where the fish's skeleton is still attached. Manolin, worried during the old man's endeavor, cries upon finding him safe asleep. The boy brings him newspapers and coffee. When the old man wakes, they promise to fish together once again. Upon his return to sleep, Santiago dreams of his youth—of lions on an African beach. The old man feels very unwell and also coughs up blood a few times towards the end of the story. He doesn't tell the boy.
The novel has received so much praise and is considered to be one of the best novels in American literature. Santiago fights the creatures of the sea and some readers think that the story is about man’s battle against the natural world. However, the novel can be viewed as the story of man’s place in relation to nature. In the story, Santiago and the marlin show similar qualities of pride, honor, and bravery, and both are subject to the same eternal natural law - they must kill or be killed. Santiago himself says:
“man is not made for defeat . . . [a] man can be destroyed but not defeated.”",old man sea novel last major work fiction written ernest hemingway publish lifetim consid one famou work award pulitz prize fiction cite nobel committe contribut award nobel prize literatur hemingway old man sea stori battl old experienc cuban fisherman larg marlin novel open explan fisherman name santiago gone day without catch fish fact unlucki young apprentic manolin forbidden parent sail old man order fish success fisherman still dedic old man howev boy visit santiago shack night day santiago set alon take skiff far onto gulf stream set line noon first day big fish sure marlin take bait long struggl fish santiago manag strap marlin side skiff head home think high price fish bring market mani peopl feed santiago sail back back shore shark attract trail blood left marlin water despit effort ward shark almost devour marlin entir carcass leav skeleton consist mostli backbon tail head home slump onto bed fall deep sleep next day group fisherman gather around boat fish skeleton still attach manolin worri old man endeavor cri upon find safe asleep boy bring newspap coffe old man wake promis fish togeth upon return sleep santiago dream lion african beach old man feel unwel also cough blood time toward end stori tell boy novel receiv much prais consid one best novel american literatur santiago fight creatur sea reader think stori man battl natur world howev novel view stori man place relat natur stori santiago marlin show similar qualiti pride honor braveri subject etern natur law must kill kill santiago say man made defeat man destroy defeat,B2
6,What is friendship in simple words,"Develop your reading skills. Read the following text about meditation and do the comprehension questions
Friendship is defined as a bond of affection between two people. People are referred to as best friends if the friendship is really strong. this relationship is characterized by positive interpersonal qualities such as kindness, generosity, loyalty, and honesty. True friends choose to be with one another, enjoy time spent together, and can engage in a positive and supportive role to one another.
As reciprocity, mutual respect, and affection rise, so does the depth of friendship. Consequently, different levels of friendship emerge according to the depth of the relationship.
It's easy to classify acquaintances. They're the people you meet frequently at casual places but don't truly know each other. These are people we know well enough to strike up a conversation with from time to time, but not people we'd ask to a dinner party or contact for help.
You're more inclined to seek help or support from a close buddy. There is not only a high level of trust amongst close friends but also a great deal of genuine love and affection. Even if you disagree with a close friend's decisions, you would protect his or her freedom to make them.
Although best friends are quite rare, they are people whom we need in our lives. Your best friend understands you without much explanation and is always there for you. Your relationship with your best friend is not dependent on the time you spend together. You may not meet your best friends for a long time. But once you get in touch with them, you feel as if nothing has changed in your friendship. These connections are distinct in their ability to adapt to the environment and endure despite the vagaries of life.
Virtual friendship is a relatively new type of friendship. It refers to friendship that takes place on the internet and is unlikely to be connected to real-life interaction. It is contrasted with the traditional friendships that we have listed above. The latter is a form of relationship that requires a lot of face-to-face connection.
This type of friendship developed as a result of advances in technology. The internet, especially social media, played an undeniable role in connecting people worldwide.
According to Doctor Suzanne Degges-White, there are 13 essential traits of good friends:
As Doctor Suzanne Degges-White says, it is probably difficult to find friends endowed with all these thirteen qualities. But as a friend, you have to try to examine your personal habits to discover if you need to improve your friendship.",develop read skill read follow text medit comprehens question friendship defin bond affect two peopl peopl refer best friend friendship realli strong relationship character posit interperson qualiti kind generos loyalti honesti true friend choos one anoth enjoy time spent togeth engag posit support role one anoth reciproc mutual respect affect rise depth friendship consequ differ level friendship emerg accord depth relationship easi classifi acquaint peopl meet frequent casual place truli know peopl know well enough strike convers time time peopl ask dinner parti contact help inclin seek help support close buddi high level trust amongst close friend also great deal genuin love affect even disagre close friend decis would protect freedom make although best friend quit rare peopl need live best friend understand without much explan alway relationship best friend depend time spend togeth may meet best friend long time get touch feel noth chang friendship connect distinct abil adapt environ endur despit vagari life virtual friendship rel new type friendship refer friendship take place internet unlik connect interact contrast tradit friendship list latter form relationship requir lot connect type friendship develop result advanc technolog internet especi social medium play undeni role connect peopl worldwid accord doctor suzann essenti trait good friend doctor suzann say probabl difficult find friend endow thirteen qualiti friend tri examin person habit discov need improv friendship,B2
7,Ancient egypt civilization,"Ancient Egypt was a civilization of ancient Northeastern Africa, which followed prehistoric Egypt and coalesced around 3150Â BC with the political unification of Upper and Lower Egypt under Menes. The history of ancient Egypt occurred in a series of stable Kingdoms, separated by periods of relative instability known as Intermediate Periods:
Egypt reached the pinnacle of its power in the New Kingdom, during the Ramesside period, where it rivaled the Hittite Empire, Assyrian Empire, and Mitanni Empire
The success of ancient Egyptian civilization came partly from its ability to adapt to the conditions of the Nile River valley for agriculture. The predictable flooding and controlled irrigation of the fertile valley produced surplus crops, which supported a more dense population, and social development and culture. The development of ancient Egypt was also due to a very advanced system of administration. The contributions of ancient Egypt include:
The ancient Egyptians also had a military intended to defeat foreign enemies and assert Egyptian dominance.
Motivating and organizing the administrative activities was a bureaucracy of elite scribes, religious leaders, and administrators under the control of a pharaoh, who ensured the cooperation and unity of the Egyptian people in the context of an elaborate system of religious beliefs. This system of administration resulted in outstanding achievements. These include:
Egypt left a lasting legacy. Its art and architecture were widely copied, and its antiquities carried off to far corners of the world. Its monumental ruins have inspired the imaginations of travelers and writers for centuries. A new-found respect for antiquities and excavations in the early modern period by Europeans and Egyptians led to the scientific investigation of Egyptian civilization and a greater appreciation of its cultural legacy.
After reaching the pinnacle of its power in the New Kingdom, during the Ramesside period, ancient Egypt entered a period of slow decline. Egypt was invaded or conquered by a succession of foreign powers, such as the Canaanites/Hyksos, Libyans, the Nubians, the Assyrians, Babylonians, the Achaemenid Persians, and the Macedonians in the Third Intermediate Period and the Late Period of Egypt. In the aftermath of Alexander the Great's death, one of his generals, Ptolemy Soter, established himself as the new ruler of Egypt. This Greek Ptolemaic Kingdom ruled Egypt until 30Â BC, when, under Cleopatra, it fell to the Roman Empire and became a Roman province.",ancient egypt civil ancient northeastern africa follow prehistor egypt coalesc around bc polit unif upper lower egypt mene histori ancient egypt occur seri stabl kingdom separ period rel instabl known intermedi period egypt reach pinnacl power new kingdom ramessid period rival hittit empir assyrian empir mitanni empir success ancient egyptian civil came partli abil adapt condit nile river valley agricultur predict flood control irrig fertil valley produc surplu crop support den popul social develop cultur develop ancient egypt also due advanc system administr contribut ancient egypt includ ancient egyptian also militari intend defeat foreign enemi assert egyptian domin motiv organ administr activ bureaucraci elit scribe religi leader administr control pharaoh ensur cooper uniti egyptian peopl context elabor system religi belief system administr result outstand achiev includ egypt left last legaci art architectur wide copi antiqu carri far corner world monument ruin inspir imagin travel writer centuri respect antiqu excav earli modern period european egyptian led scientif investig egyptian civil greater appreci cultur legaci reach pinnacl power new kingdom ramessid period ancient egypt enter period slow declin egypt invad conquer success foreign power libyan nubian assyrian babylonian achaemenid persian macedonian third intermedi period late period egypt aftermath alexand great death one gener ptolemi soter establish new ruler egypt greek ptolema kingdom rule egypt bc cleopatra fell roman empir becam roman provinc,B2
8,English educational system,"Education is a devolved matter in the UK, with separate systems overseen by separate governments. England, Wales, and Northern Ireland, with certain exceptions, follow the National Curriculum of the United Kingdom. Scotland, on the other hand, has its own set of educational standards.
The Department for Education in the United Kingdom is in charge of education in England. Local government officials are in charge of putting public education and state-funded schools policies into action on a local level.
The English educational system is divided into primary, secondary, and higher education. Children are required to start school at the age of five. Compulsory education lasts until the age of sixteen. Most pupils transfer from primary to secondary education at the age of eleven.
Students may then continue their secondary studies for a further two years (sixth form), leading most typically to an A level qualification, although other qualifications and courses exist, including Business and Technology Education Council (BTEC) qualifications and the International Baccalaureate.
Higher education typically begins with a 3-year Bachelor's Degree. Postgraduate degrees include Master's Degrees, either taught or by research, and Doctor of Philosophy, a research degree that usually takes at least 3 years.",educ devolv matter uk separ system overseen separ govern england wale northern ireland certain except follow nation curriculum unit kingdom scotland hand set educ standard depart educ unit kingdom charg educ england local govern offici charg put public educ school polici action local level english educ system divid primari secondari higher educ child requir start school age five compulsori educ last age sixteen pupil transfer primari secondari educ age eleven student may continu secondari studi two year sixth form lead typic level qualif although qualif cours exist includ busi technolog educ council btec qualif intern baccalaur higher educ typic begin bachelor degre postgradu degre includ master degre either taught research doctor philosophi research degre usual take least year,C1
9,Winter olympic games,"The Winter Olympic Games is a major international sporting event that occurs once every four years. The first Winter Olympics, the 1924 Winter Olympics, was held in Chamonix, France. The original sports were alpine and cross-country skiing, figure skating, ice hockey, Nordic combined, ski jumping and speed skating.

The Games were held every four years from 1924 until 1936, after which they were interrupted by World War II. The Olympics resumed in 1948 and was again held every four years. Until 1992, the Winter and Summer Olympic Games were held in the same years, but in accordance with a 1986 decision by the International Olympic Committee (IOC) to place the Summer and Winter Games on separate four-year cycles in alternating even-numbered years, the next Winter Olympics after 1992 was in 1994.
The Winter Olympics has been hosted on three continents by eleven different countries, but never in a country in the southern hemisphere.",winter olymp game major intern sport event occur everi four year first winter olymp winter olymp held chamonix franc origin sport alpin ski figur skate ice hockey nordic combin ski jump speed skate game held everi four year interrupt world war ii olymp resum held everi four year winter summer olymp game held year accord decis intern olymp committe ioc place summer winter game separ cycl altern year next winter olymp winter olymp host three contin eleven differ countri never countri southern hemispher,B1
