Word,Level
ability,A2
able,A2
abroad,A2
accept,A2
accident,A2
accordingto,A2
achieve,A2
active,A2
actually,A2
adult,A1
advantage,A2
adventure,A2
advertise,A2
advertisement,A2
advertising,A2
affect,A2
after,A1
against,A2
airline,A2
alive,A2
allright,A2
allow,A2
almost,A2
alone,A2
along,A2
already,A2
alternative,B1
although,A2
among,A2
amount,B2
ancient,A2
ankle,A2
anybody,A2
anymore,A2
anyway,A2
anywhere,A2
appear,A2
appearance,A2
apply,A2
architect,A2
architecture,A2
argue,C1
argument,A2
army,A2
arrange,A2
arrangement,A2
asleep,A2
assistant,A2
athlete,A2
attack,A2
attend,A2
attention,A2
attractive,A2
audience,A2
author,A2
available,A2
average,B1
avoid,A2
award,B1
awful,A2
back,B2
background,A2
badly,A2
baseball,A2
based,A2
basketball,A2
bean,A2
bear,B2
animal,A1
beat,B2
beef,A2
before,A1
behave,A2
behaviour,A2
belong,A2
belt,A2
benefit,B1
best,A1
better,B1
between,A1
billion,A2
biology,A2
birth,A2
biscuit,A2
blank,A2
blood,A2
blow,A2
board,B1
boil,A2
bone,A2
book,A1
borrow,A2
boss,A2
bottom,A2
bowl,A2
brain,A2
bridge,A2
bright,A2
brilliant,A2
broken,A2
brush,A2
burn,B2
businessman,A2
button,A2
camp,A2
camping,A2
care,A2
careful,A2
carefully,A2
carpet,A2
cartoon,A2
case,A2
cash,A2
castle,A2
catch,B2
cause,A2
celebrate,A2
celebrity,A2
certain,A2
certainly,A2
chance,A2
character,A2
charity,A2
chat,A2
check,A1
chef,A2
chemistry,A2
chip,A2
choice,A2
church,A2
cigarette,A2
circle,A2
classical,A2
clear,B1
clearly,A2
clever,A2
climate,A2
close,B1
closed,A2
clothing,A2
cloud,A2
coach,B1
coast,A2
code,A2
colleague,A2
collect,A2
column,A2
comedy,A2
comfortable,A2
comment,B1
communicate,A2
community,A2
compete,A2
competition,A2
complain,A2
completely,A2
condition,A2
conference,A2
connect,A2
connected,A2
consider,A2
contain,A2
context,A2
continent,A2
continue,A2
control,A2
cook,A1
cooker,A2
copy,A2
corner,A2
correctly,A2
count,B1
couple,A2
cover,B1
crazy,A2
creative,A2
credit,B2
crime,A2
criminal,B1
cross,A2
crowd,A2
crowded,A2
cupboard,A2
curly,A2
cycle,A2
daily,B1
danger,A2
dark,A1
data,A2
dead,C1
deal,B1
dear,A1
death,A2
decision,A2
deep,B1
definitely,A2
degree,A2
dentist,A2
department,A2
depend,A2
desert,B2
designer,A2
destroy,A2
detective,A2
develop,A2
device,A2
diary,A2
differently,A2
digital,A2
direct,B1
direction,A2
director,A2
disagree,A2
disappear,A2
disaster,A2
discover,A2
discovery,A2
discussion,A2
disease,A2
distance,A2
divorced,A2
document,B2
double,B1
download,A2
downstairs,A1
drama,A2
drawing,A2
dream,A2
drive,A1
driving,C1
drop,B1
drug,A2
earn,A2
earth,A2
easily,A2
education,A2
effect,A2
either,A2
electric,A2
electrical,A2
electricity,A2
electronic,A2
employ,A2
employee,A2
employer,A2
empty,B1
ending,A2
energy,A2
engine,A2
engineer,A2
enormous,A2
enter,A2
environment,A2
equipment,A2
error,A2
especially,A2
essay,A2
everyday,A2
everywhere,A2
evidence,A2
exact,A2
exactly,A2
excellent,A2
except,B1
exist,A2
expect,A2
experience,B1
experiment,B1
expert,A2
explanation,A2
express,A2
expression,A2
extreme,B2
extremely,A2
factor,A2
factory,A2
fail,A2
fair,A2
fall,A1
farm,A1
farming,A2
fashion,A2
fear,B1
feature,B1
feed,B2
female,A2
fiction,A2
field,A2
fight,A2
figure,B2
film,A1
final,A1
finally,A2
finger,A2
finish,A1
first,A1
firstly,A2
fish,A1
fishing,A2
flat,A1
flying,A2
focus,A2
